0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73
det,min,9,12,0,0,-9,-4,0,0,0,0,0,1,-3,4,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,-13,-9,0,0,-14,-9,0,0,0,0,0,1,-8,-13,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
jax,phi,-10,15,0,0,1,-6,1,0,0,0,0,1,-9,-2,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,12,9,1,0,-3,4,0,0,0,0,0,1,-9,-4,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
was,ram,4,7,0,0,-10,-16,1,0,0,0,0,1,11,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,-9,-7,0,0,-10,-6,0,0,0,0,0,1,-10,15,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
rai,crd,-7,-9,1,0,-10,15,0,0,0,0,0,1,-10,-6,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,-16,18,0,0,-6,-10,1,0,0,0,0,1,-14,-8,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
den,clt,8,-9,1,0,-6,1,0,0,0,0,0,1,8,-17,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,15,-9,1,0,1,11,0,0,0,0,0,1,8,-5,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
sea,sdg,-9,8,0,0,8,-17,1,0,0,0,0,1,-6,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,15,-10,1,0,-9,-2,0,0,0,0,0,1,1,-6,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
mia,nyj,-9,-13,1,0,-8,-13,1,0,0,0,0,1,-14,-9,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,5,-9,1,0,-14,-13,0,0,0,0,0,1,15,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
gnb,chi,11,-16,1,0,4,-3,1,0,0,0,0,1,-13,-8,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,4,-3,1,0,-4,-9,1,0,0,0,0,1,-16,-10,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
sea,ram,4,-3,1,0,-9,8,0,0,8,-17,1,0,15,-10,1,0,-9,-2,0,0,-6,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,7,-7,1,0,-9,-7,0,0,-10,-6,0,0,4,7,0,0,-10,-16,1,0,-10,15,0,0,0,0,0,1,0,0,0,1,0,0,0,1
buf,nyj,7,15,0,0,-16,11,0,0,-13,-8,0,0,-9,5,0,0,15,1,1,0,4,-3,1,0,0,0,0,1,0,0,0,1,0,0,0,1,8,0,1,0,5,-9,1,0,-14,-13,0,0,-9,-13,1,0,-8,-13,1,0,15,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1
