0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81
kan,rai,-10,-13,19,-3,8,12,-14,-4,8,-13,-7,-9,-2,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,-20,36,-9,-14,-6,12,4,1,8,0,1,-7,-9,-10,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clt,phi,7,-6,4,1,-4,-14,5,8,4,-10,15,-9,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,14,8,-6,4,1,-11,-6,5,-20,12,9,-3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gnb,dal,-14,-23,5,1,-3,0,-10,-7,5,3,-6,-3,11,-16,4,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,12,12,18,-2,1,4,11,4,-10,-3,4,-16,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pit,cin,-13,-3,0,-1,5,-13,-9,-6,15,-10,-4,-12,-8,-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9,-1,9,16,-2,1,-3,0,-3,-16,-8,-13,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
atl,rav,4,-2,16,9,-6,8,-3,-13,-7,-9,4,1,18,-16,-14,-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-13,14,11,-3,0,8,-6,-6,-9,1,-6,-13,-8,-13,-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
buf,det,-4,-1,-13,-10,11,14,3,13,-9,15,7,15,-16,11,-13,-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,14,2,-3,5,21,-17,3,5,-13,1,9,12,-9,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tam,car,-2,4,15,12,-5,-6,-17,8,1,-2,-10,15,-3,-16,-6,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-20,11,-13,-3,0,-3,-17,0,-9,-7,-16,-3,-16,-3,-5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chi,min,-1,-4,-9,-6,-3,0,0,-17,-20,-6,-3,-6,4,-3,-4,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,-5,5,1,5,1,-2,-3,6,1,-13,-13,-9,-14,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cin,clt,-2,4,-9,-1,9,16,-2,1,-3,0,-3,-16,-8,-13,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,7,-6,4,1,-4,-14,5,8,4,-10,15,-9,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nyj,cle,0,-3,-23,-14,1,-3,6,-3,15,-9,8,0,5,-9,-14,-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,-9,7,-6,-13,5,-13,-3,0,-3,-6,1,-9,-7,-9,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
